cardId,name,issuer,network,currency,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits,offers,historicalOffers,discontinued,offerAmount,offerSpend,offerUrl,offerDays,countsTowards524
cafe43d37256bec116dff4be6cced2cf,Gold,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,350,false,1,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://offeroptimist.com/images/amex/gold.webp,"120 $10/mo credit for Uber; 120 $10/mo credit for Grubhub, Cheesecake Factory, Gold Belly, Wine.com, Milk, Shake Shack; 84 $7/mo credit for Dunkin; 100 Semi-annual $50 Resy credit",,,false,75000,6000,https://resy.com/amex-offers,180,true
cafe43d37256bec116dff4be6cced2cf,Gold,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,350,false,1,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://offeroptimist.com/images/amex/gold.webp,"120 $10/mo credit for Uber; 120 $10/mo credit for Grubhub, Cheesecake Factory, Gold Belly, Wine.com, Milk, Shake Shack; 84 $7/mo credit for Dunkin; 100 Semi-annual $50 Resy credit",,,false,60000,6000,,180,true
ad9a96ed5f730a79d0171f1f8ca92d0c,Green,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,150,false,1,https://www.americanexpress.com/us/credit-cards/card/green/,https://offeroptimist.com/images/amex/green.webp,100 CLEAR Credit; 100 Lounge Access Credit,,,false,40000,3000,,180,true
0710239dc6fbd92077bce7118572e217,Hilton Honors,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,false,0,false,1,https://www.hilton.com/en/hilton-honors/credit-cards/,https://offeroptimist.com/images/amex/hilton-honors.png,,,,false,80000,2000,,180,true
59c1e4c423d078c91e9b7c51d72e893d,Hilton Honors Aspire,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,false,550,false,1,https://www.hilton.com/en/hilton-honors/credit-cards/,https://offeroptimist.com/images/amex/hilton-honors-aspire.png,250 Hilton Resort Credit,,,false,150000,6000,,180,true
434df114291a974c876d58cf79158376,Hilton Honors Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,true,175,false,5,https://www.hilton.com/en/hilton-honors/credit-cards/,https://offeroptimist.com/images/amex/hilton-honors-business.png,240 $60 Hilton credit per quarter.,,,false,130000,6000,,180,false
f6c6aa50b533b758df7be5151d805571,Hilton Honors Surpass,AMERICAN_EXPRESS,AMERICAN_EXPRESS,HILTON,false,95,false,1,https://www.hilton.com/en/hilton-honors/credit-cards/,https://offeroptimist.com/images/amex/hilton-honors-surpass.jpg,,,,false,130000,3000,,180,true
4d2115812f09d194440ef99b1a5210cd,Marriott Bonvoy Brilliant,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,false,650,false,1,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,https://offeroptimist.com/images/amex/marriott-bonvoy-brilliant.webp,300 $25/mo Dining Credit,,,false,150000,8000,,180,true
1129280627d633940e575deabdaa105f,Marriott Bonvoy Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,true,125,false,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,https://offeroptimist.com/images/amex/marriott-bonvoy-business.webp,,,,false,0,6000,,180,false
ec1872dfd8a65491a33bae2da4dd487f,Platinum,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,695,false,1,https://www.americanexpress.com/us/credit-cards/card/platinum/,https://offeroptimist.com/images/amex/platinum.webp,200 Hotel Credit; 100 Bi-yearly $50 Saks Credit; 200 $20/mo Digital Entertainment Credit; 200 $15/mo Uber Cash; 200 Airline Fee Credit; 155 Walmart+ Credit; 189 CLEAR Credit,,,false,100000,8000,https://resy.com/amex-offers,180,true
