name,issuer,network,currency,offerAmount,offerSpend,offerDays,offerUrl,countsTowards524,details,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits
Hilton Honors,American Express,American Express,Hilton Honors Points,100000,2000,180,https://www.hilton.com/en/hilton-honors/credit-cards/,TRUE,,FALSE,0,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/hilton-honors/,https://offeroptimist.com/images/amex/hilton-honors.png,
Hilton Honors Aspire,American Express,American Express,Hilton Honors Points,150000,6000,180,https://www.hilton.com/en/hilton-honors/credit-cards/,TRUE,,FALSE,450,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/hilton-honors-aspire/,https://offeroptimist.com/images/amex/hilton-honors-aspire.png,$250 Hilton Resort Credit
Hilton Honors Business,American Express,American Express,Hilton Honors Points,130000,3000,90,https://www.hilton.com/en/hilton-honors/credit-cards/,FALSE,,TRUE,95,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/hilton-honors/,https://offeroptimist.com/images/amex/hilton-honors-business.png,
Hilton Honors Surpass,American Express,American Express,Hilton Honors Points,150000,3000,180,https://www.hilton.com/en/hilton-honors/credit-cards/,TRUE,,FALSE,95,TRUE,1,https://www.americanexpress.com/us/credit-cards/card/hilton-honors-surpass/,https://offeroptimist.com/images/amex/hilton-honors-surpass.jpg,
Marriott Bonvoy Brilliant,American Express,American Express,Marriott Points,95000,5000,90,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,TRUE,,FALSE,650,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,https://offeroptimist.com/images/amex/marriott-bonvoy-brilliant.webp,$300 $25/mo Dining Credit; $85000 Free Night Credit up to 85k.
Marriott Bonvoy Business,American Express,American Express,Marriott Points,75000,3000,90,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,FALSE,,TRUE,125,FALSE,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,https://offeroptimist.com/images/amex/marriott-bonvoy-business.webp,
Platinum,American Express,American Express,Amex Points,125000,6000,180,https://www.americanexpress.com/us/credit-cards/card/platinum/,TRUE,,FALSE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/platinum/,https://offeroptimist.com/images/amex/platinum.webp,$200 Hotel Credit; $100 Bi-yearly $50 Saks Credit; $200 $20/mo Digital Entertainment Credit; $200 $15/mo Uber Cash; $200 Airline Fee Credit; $155 Walmart+ Credit; $189 CLEAR Credit
Platinum,American Express,American Express,Amex Points,100000,6000,180,https://resy.com/amex-offers?date=2022-11-04&seats=2,TRUE,,FALSE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/platinum/,https://offeroptimist.com/images/amex/platinum.webp,$200 Hotel Credit; $100 Bi-yearly $50 Saks Credit; $200 $20/mo Digital Entertainment Credit; $200 $15/mo Uber Cash; $200 Airline Fee Credit; $155 Walmart+ Credit; $189 CLEAR Credit
Platinum,American Express,American Express,Amex Points,80000,6000,180,https://card.americanexpress.com/d/platinum-card/,TRUE,,FALSE,695,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/platinum/,https://offeroptimist.com/images/amex/platinum.webp,$200 Hotel Credit; $100 Bi-yearly $50 Saks Credit; $200 $20/mo Digital Entertainment Credit; $200 $15/mo Uber Cash; $200 Airline Fee Credit; $155 Walmart+ Credit; $189 CLEAR Credit
Platinum (Schwab),American Express,American Express,Amex Points,100000,6000,180,https://www.schwab.com/credit-cards#panel--50-media-right-117911,TRUE,,FALSE,695,FALSE,1,https://www.schwab.com/credit-cards#panel--50-media-right-117911,https://offeroptimist.com/images/amex/platinum-schwab.webp,$200 Hotel Credit; $200 $20/mo Digital Entertainment Credit; $200 $15/mo Uber Cash; $200 Airline Fee Credit; $155 Walmart+ Credit; $189 CLEAR Credit
Platinum (Morgan Stanley),American Express,American Express,Amex Points,100000,6000,180,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/?page_url=1,TRUE,,FALSE,695,FALSE,1,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/?page_url=1,https://offeroptimist.com/images/amex/platinum-morgan-stanley.webp,$200 Hotel Credit; $200 $20/mo Digital Entertainment Credit; $200 $15/mo Uber Cash; $200 Airline Fee Credit; $155 Walmart+ Credit; $189 CLEAR Credit
Marriott Bonvoy Bevy,American Express,American Express,Marriott Points,125000,4000,90,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,TRUE,,FALSE,250,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,https://offeroptimist.com/images/amex/marriott-bonvoy-bevy.png,
Lowes,American Express,American Express,USD,0,0,90,https://www.americanexpress.com/us/credit-cards/card-application/apply/lowes-business-rewards-card/42472-9-0#/,FALSE,,TRUE,0,FALSE,1,https://www.americanexpress.com/us/credit-cards/card-application/apply/lowes-business-rewards-card/42472-9-0#/,https://offeroptimist.com/images/amex/lowes-business.webp,
